city,time,temperature,humidity,wind_speed
Pune,2026-09-01T00:00,22.6,88,11.4
Pune,2026-09-01T01:00,22.5,90,12.7
Pune,2026-09-01T02:00,22.6,90,12.0
Pune,2026-09-01T03:00,22.5,89,13.7
Pune,2026-09-01T04:00,22.6,89,12.4
Pune,2026-09-01T05:00,22.5,89,13.3
Pune,2026-09-01T06:00,22.5,89,14.2
Pune,2026-09-01T07:00,23.3,84,16.4
Pune,2026-09-01T08:00,24.5,77,16.9
Pune,2026-09-01T09:00,26.0,71,16.0
Pune,2026-09-01T10:00,27.1,67,16.7
Pune,2026-09-01T11:00,28.1,61,15.7
Pune,2026-09-01T12:00,28.9,57,16.0
Pune,2026-09-01T13:00,29.1,57,17.2
Pune,2026-09-01T14:00,29.1,57,18.0
Pune,2026-09-01T15:00,28.4,57,18.7
Pune,2026-09-01T16:00,27.1,65,19.8
Pune,2026-09-01T17:00,26.1,74,18.4
Pune,2026-09-01T18:00,24.6,80,14.6
Pune,2026-09-01T19:00,23.9,83,13.0
Pune,2026-09-01T20:00,23.4,87,11.9
Pune,2026-09-01T21:00,23.4,88,11.5
Pune,2026-09-01T22:00,23.3,89,10.6
Pune,2026-09-01T23:00,23.0,87,10.4
